,web-scraper-order,web-scraper-start-url,pagination,pagination-href,price,kunstenaar,beschrijving,image-src,url,detail_page,detail_page-href,height_painting_cm,width_painting_cm,condition,technique,signed,framed,height_frame_cm,width_frame_cm,period,style,subject,name,file_path
0,1607959998-4764,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",266,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=3180&q=filter&limit=12&status=sold&sort=enddate,d",527.0,Matthieu Wiegman (1886-1971),"Mattheus Johannes Marie 'Matthieu' WiegmanZwolle 1886-1971 Bergen (N.H.)Stilleven met tulpen  olieverf op doek 61,4 x 50,1 cm, gesigneerd r.o. Matthieu Wiegman, broer van Piet Wiegman, was een belangrijk Nederlands expressionist. Hij kreeg zijn opleiding aan de Rijksacademie in Amsterdam en trok daarna in 1911 naar Bergen, waar hij zicht ontwikkelde tot een van de toonaangevende schilders van de Bergense School. Wiegman schilderde vooral figuren, landschappen en stillevens. Soms toont zijn werk in het gebruik van warme, bijna vrolijke kleuren invloed van de Franse schilder Cézanne. In zijn latere leven bracht Wiegman veel tijd in Frankrijk door. Hij maakte ook monumentale wandschilderingen, mozaïeken en glas-in-lood-ramen, dikwijls met religieuze onderwerpen.",https://images.kunstveiling.nl/tmp-8d702894b02591a082a52090ead9e74a-matthieu-wiegman_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/olieverf-bergense-school-circa-1930-voorjaarsboeket-tulpen-gesigneerd/257657"",",Bekijk item,https://www.kunstveiling.nl/items/matthieu-wiegman-olieverf-bergense-school-circa-1930-voorjaarsboeket-tulpen-gesigneerd/257657,50.0,40.0,Goed,Olieverf,Handgesigneerd,Ingelijst,60.0,50.0,1900 t/m 1944,Expressionistisch,Stilleven,Matthieu Wiegman - Olieverf - Bergense School - circa 1930 - Voorjaarsboeket Tulpen - gesigneerd,..\data\0000.png
1,1607954744-2485,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",32,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=372&q=filter&limit=12&status=sold&sort=enddate,d",400.0,Johan Bakker (1889-1975),"Olieverf op doek, 50 x 60 cm, gesigneerd r.o. Bakker was bevriend met Jan van der Zee en Ekke Kleima en lid van De Ploeg.",https://images.kunstveiling.nl/tmp-6b47b8ba608844ddf64cd3946b4a872e-johan-bakker_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/boerderij-te-warffum-groningen/319411"",",Bekijk item,https://www.kunstveiling.nl/items/johan-bakker-boerderij-te-warffum-groningen/319411,50.0,60.0,Goed,Olieverf,Handgesigneerd,Ingelijst,62.0,72.0,1945 t/m 1999,Klassiek,Landschap,Johan Bakker - Boerderij te Warffum Groningen,..\data\0001.png
2,1607956263-3145,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",77,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=912&q=filter&limit=12&status=sold&sort=enddate,d",140.0,Andre Gignac (1866-1956),Het werk is gesigneerd door Andre Gignac (1866 -1956),https://images.kunstveiling.nl/tmp-7a70568b06f1021deacf2d65c73ab1ea-onbekende-kunstenaar_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/ruige-zee/309426"",",Bekijk item,https://www.kunstveiling.nl/items/andre-gignac-ruige-zee/309426,48.0,68.0,Goed,Olieverf,Handgesigneerd,Ingelijst,64.0,84.0,1945 t/m 1999,Realistisch,Zeegezicht,Andre Gignac - Ruige zee,..\data\0002.png
3,1607954736-2481,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",32,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=372&q=filter&limit=12&status=sold&sort=enddate,d",160.0,Frederic Benrath (1930-2007),zeer abstract werk in typische stijl,https://images.kunstveiling.nl/tmp-27e300230ea848965af833412410c359-frederic-benrath_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/abstracte-kunst/321544"",",Bekijk item,https://www.kunstveiling.nl/items/frederic-benrath-abstracte-kunst/321544,79.0,59.0,Zeer Goed,Olieverf,Handgesigneerd,Ingelijst,79.0,59.0,1945 t/m 1999,Abstract,Abstract,Frederic Benrath - abstracte kunst,..\data\0003.png
4,1607955350-2749,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",38,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=444&q=filter&limit=12&status=sold&sort=enddate,d",125.0,Henk Poeder (1964),Prachtig olieverf gemaakt door h poeder  betreft een Ijsvogel  op besneeuwde tak gesigneerd h poeder,https://images.kunstveiling.nl/tmp-083b3dd550a349895ecb6e3738a440e8-henk-poeder_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/ysvogel/319864"",",Bekijk item,https://www.kunstveiling.nl/items/henk-poeder-ysvogel/319864,28.0,20.0,Goed,Olieverf,Handgesigneerd,Ingelijst,37.0,30.0,2000 t/m Heden,Realistisch,Dieren,Henk Poeder - Ysvogel,..\data\0004.png
5,1607961200-5287,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",330,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=3948&q=filter&limit=12&status=sold&sort=enddate,d",105.0,Kees van Ameijden (1907-1992),Dit werk is rechtsonder gesigneerd. Het werk is ingelijst in een houten lijst. Werk en lijst zijn in perfecte staat.,https://images.kunstveiling.nl/tmp-7784577d629c740496f5650b9cab422d-kees-van-ameijden_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/stadsgezicht/241573"",",Bekijk item,https://www.kunstveiling.nl/items/kees-van-ameijden-stadsgezicht/241573,50.0,60.0,Zeer Goed,Olieverf,Handgesigneerd,Ingelijst,67.0,78.0,1945 t/m 1999,Klassiek,Stadsgezicht,Kees van Ameijden - Stadsgezicht,..\data\0005.png
6,1607955045-2616,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",13,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=144&q=filter&limit=12&status=sold&sort=enddate,d",750.0,Finn Pedersen (1944),"Origineel schilderij van neo CoBrA kunstenaar Finn Pedersen
Gouache op papier gemaroufleeerd op board
Handgesigneerd in balpen rechts onderaan",https://images.kunstveiling.nl/tmp-a43cdbe4c6a58efbed43ebbf5f6b222f-finn-pedersen_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/gouache-handgesigneerd-en-ingelijst/324450"",",Bekijk item,https://www.kunstveiling.nl/items/finn-pedersen-gouache-handgesigneerd-en-ingelijst/324450,50.0,60.0,Goed,Gouache,Handgesigneerd,Ingelijst,54.0,64.0,1945 t/m 1999,Modern,Figuren,"Finn Pedersen - gouache, handgesigneerd en ingelijst",..\data\0006.png
7,1607960705-5072,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",300,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=3588&q=filter&limit=12&status=sold&sort=enddate,d",250.0,Toon Koster (1913-1989),"Toon Koster, 
bootjes aan de dorpskade,
 olie op board, gesigneerd, 
Dit werk kan worden opgehaald op onze locatie in Nieuwersluis.Voor meer informatie over de conditie van dit werk kunt u contact met ons opnemen.",https://images.kunstveiling.nl/tmp-e5e7b7fce8fc846ffaed66259407efe9-toon-koster_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/c2592-bootjes-aan-de-dorpskade/248382"",",Bekijk item,https://www.kunstveiling.nl/items/toon-koster-c2592-bootjes-aan-de-dorpskade/248382,30.0,40.0,Redelijk,Olieverf,Handgesigneerd,Ingelijst,41.0,50.0,1945 t/m 1999,Impressionistisch,Havengezicht,Toon Koster - C2592 - Bootjes aan de dorpskade,..\data\0007.png
8,1607959893-4718,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",258,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=3084&q=filter&limit=12&status=sold&sort=enddate,d",200.0,August Motsch (1869-1952),August Motsch (Düsseldorf 1869 - 1952) Bekend als landschapsschilder wild en de jacht. Op internet is meer te zien in deze stijl welke hij heeft geschilderd. Het is mij niet bekend welk jaar werk is gemaakt?,https://images.kunstveiling.nl/tmp-27ff0a5687d536a2acda3e4ec63c88fd-august-motsch_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/dusseldorf-1869-1952/260712"",",Bekijk item,https://www.kunstveiling.nl/items/august-motsch-dusseldorf-1869-1952/260712,80.0,120.0,Goed,Olieverf,Handgesigneerd,Ingelijst,96.0,134.0,1900 t/m 1944,Klassiek,Dieren,August Motsch - Düsseldorf 1869-1952,..\data\0008.png
9,1607952052-1316,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",369,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=4416&q=filter&limit=12&status=sold&sort=enddate,d",304.0,Lucas Meersman (1938),"zeer kleurrijk en heel dik in de verf met paletmes , schilderij olieverf op dik paneel.

is gesigneerd onderaan rechts.

het schilderij is mooier dan de foto's weergeven.

ingekaderd in een brede strakke en degelijke kader.

werken van deze kunstenaar worden gezocht.

kunstenaar staat zowat overal vermeld in de kunstboeken.

afmetingen paneel 35 cm x 46 cm

met kader 56 cm x 67 cm

zie informatie op google.

Lucas Meersman werd geboren in Temse in 1938. Hij studeerde aan de 
Academie voor Schone Kunsten te Antwerpen en Luik en aan het Nationaal 
Hoger Instituut te Antwerpen. Hij behaalde verschillende prijzen, onder 
andere de prijs Verlat en de Prijs van de stad Brussel met gouden 
ere-medaille. Hij was geselecteerd voor de Kerstprijs Pro Arte 
Christiana, de Kamiel Huysmans Prijs, de Prijs voor jonge schilders in 
Tienen, de Olivetti Prijs en de prijs Jeune Peinture Belge. Er werden 
verscheidene werken aangekocht door de Staat, de Provincie Antwerpen en 
Oost-Vlaanderen. Ook musea in Oostende, Brussel en Temse kochten werken 
aan.",https://images.kunstveiling.nl/tmp-05f4e7dcd864dd0eb522cffbb884ed4d-blob_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/abstracte-compositie-bloemen/227828"",",Bekijk item,https://www.kunstveiling.nl/items/lucas-meersman-abstracte-compositie-bloemen/227828,46.0,35.0,Goed,Olieverf,Handgesigneerd,Ingelijst,67.0,56.0,1945 t/m 1999,Abstract,Stilleven,Lucas Meersman - abstracte compositie bloemen,..\data\0009.png
